Domain/URL;Authority Score;Referring Domains;Backlinks;Referring IPs;Monthly Visits;Organic Traffic
zigdao.com;2;178;948;183;4200;548
signals.blue;14;196;443;204;134;31
4c-trading.com;2;376;2200;328;112;2
cryptoalarm.net;4;138;359;103;;
learn2.trade;30;6600;39000;5600;848;2100
fatpigsignals.com;18+4;285;3100;251;894;111
cryptosignals.guru;3;23;44;24;;
2moon.co;3;79;194;33;;1
universalcryptosignals.com;4;388;7700;284;286;
dash2trade.com;31+1;1900;34500;2200;4500;7400
wundertrading.com;34;2200;91800;2400;38600;15900
cryptobasescanner.com;12;177;5500;241;;26
bitbotapp.com;9;65;76;58;;505
avatrade.com;46;16300;7900000;14300;560000;137000
momentumcryptos.com;2;162;626;193;113000;
kryll.io;28;3600;94100;3100;10000;1700
3commas.io;39;12500;2300000;6900;829000;80800
cryptohopper.com;36;7800;308000;6600;742000;21500
altrady.com;26;1600;10900;1700;28900;1100
cornix.io;28+1;771;2800;594;92200;3400
bitsgap.com;36;5800;198000;5100;279000;17200
tradesanta.com;30-3;7600;43400;4500;114000;8700
app.cryptohero.ai;21;53;8000;69;3000;241
haasonline.com;27;4400;247000;3700;6600;1000
falconx.io;33;1500;6400;1500;2100;10000
coinbase.com;79;115000;46300000;83000;32100000;10900000
kraken.com;64-1;39000;20300000;33000;5300000;1300000
