Target,Visits,Unique Visitors,Pages / Visit,Avg. Visit Duration,Bounce Rate
zigdao.com,4200.0,2900.0,1.4,07:13,0.8137000000000001
signals.blue,134.0,107.0,2.0,15:28,0.0
4c-trading.com,112.0,111.0,1.0,00:00,1.0
learn2.trade,848.0,555.0,1.0,00:00,1.0
fatpigsignals.com,894.0,661.0,1.1,18:58,0.9128000000000001
univer...ignals.com,286.0,161.0,1.0,00:00,1.0
dash2trade.com,4500.0,3400.0,1.2,18:38,0.8956999999999999
wund...rading.com,38600.0,26200.0,3.2,07:38,0.6182
avatrade.com,560200.0,286600.0,2.0,13:58,0.591
mom...ryptos.com,113300.0,56700.0,3.0,06:02,0.0
kryll.io,10000.0,6500.0,3.4,02:17,0.024300000000000002
3commas.io,829100.0,146400.0,2.8,24:30,0.4917
cryptohopper.com,742300.0,160400.0,9.2,26:37,0.191
altrady.com,28900.0,11700.0,1.7,05:46,0.669
cornix.io,92200.0,25500.0,2.6,30:29,0.6341
bitsgap.com,279400.0,132600.0,1.2,06:39,0.8703
tradesanta.com,114000.0,84500.0,1.2,03:48,0.8844
haasonline.com,6600.0,4600.0,1.7,04:31,0.5689
falconx.io,2100.0,2100.0,1.0,00:00,1.0
coinbase.com,32100000.0,14900000.0,2.3,10:05,0.5924
kraken.com,5300000.0,2400000.0,2.4,12:06,0.5931000000000001
nansen.ai,277600.0,154900.0,1.9,06:39,0.6008
moralismoney.com,182800.0,57600.0,2.1,24:33,0.6241
mark...rading.com,20100.0,18600.0,1.8,02:18,0.67
marketliberator.xyz,2000.0,1800.0,1.0,00:00,1.0
lunetrading.com,14800.0,8100.0,1.5,00:26,0.5189
stormgain.com,1400000.0,569200.0,2.6,07:45,0.7036
rektcapital.co,236600.0,32700.000000000004,1.1,02:56,0.9658
wolfxsignals.com,2300.0,1900.0,3.5,05:40,0.6553
